name,highway_type,geometry
Ali Zahabi,secondary,"LINESTRING (46.5795679 24.5463758, 46.5793675 24.5465098, 46.5783359 24.5465892, 46.5781588 24.5466028, 46.5773864 24.5466622, 46.5734853 24.5469625, 46.573269 24.5469792, 46.5724974 24.5470397, 46.5689865 24.5473149, 46.5682571 24.5473721, 46.5642551 24.5476858, 46.5635618 24.5477402, 46.5633809 24.5477539, 46.5624825 24.5478218, 46.5608136 24.5479479, 46.5591896 24.5480706, 46.5583519 24.5481339, 46.5544295 24.5484303, 46.5536316 24.5484906, 46.5534638 24.5485035, 46.5527373 24.5485594, 46.5494277 24.5488141, 46.5485901 24.5488786, 46.5466022 24.5490316, 46.5454745 24.5491184, 46.545164 24.549159, 46.5449379 24.5492081, 46.5447216 24.549302, 46.5445447 24.5494049, 46.5443874 24.5495211, 46.544235 24.5496865, 46.5441121 24.5499101, 46.5440138 24.550156, 46.5439696 24.5504108, 46.5439401 24.5507372, 46.5440079 24.551472, 46.5443438 24.5543518)"
نجم الدين الأيوبي,secondary,"LINESTRING (46.6446416 24.5543579, 46.6446177 24.554285, 46.6445931 24.5542258, 46.6445621 24.5541528, 46.644485 24.5540619, 46.6444172 24.5539926, 46.6443629 24.5539496, 46.643616 24.5533586, 46.6433686 24.553155, 46.6431049 24.5529927, 46.6427598 24.5528228, 46.6424163 24.5526821, 46.6420595 24.5525733, 46.6416667 24.5525006, 46.6413041 24.5524663, 46.6402149 24.552435, 46.6394936 24.5524273, 46.6388525 24.5524144, 46.6384831 24.5524161, 46.6353442 24.552371, 46.6353187 24.5523706, 46.6349111 24.5523623, 46.6335271 24.5523484, 46.6333392 24.5523424, 46.6329355 24.5523377, 46.6326392 24.5523302, 46.631744 24.5523218, 46.6309118 24.5523056, 46.6301062 24.55229, 46.628415 24.5522753, 46.6267728 24.5522748, 46.6264527 24.5522782, 46.6260571 24.5522803, 46.6250321 24.552263, 46.6232458 24.5522408, 46.6220841 24.5522239, 46.6215126 24.5522067, 46.6210292 24.5522134, 46.6201999 24.5522031, 46.6200924 24.5522074, 46.6200446 24.5522055, 46.6199439 24.5522042, 46.6198987 24.5522031, 46.6190618 24.5521837, 46.6187346 24.5521761, 46.6164198 24.5521222, 46.6118278 24.552082, 46.610509 24.5520505, 46.6095874 24.5520607, 46.6091725 24.552049, 46.6079736 24.5520612, 46.6062558 24.5519984, 46.6053913 24.551989, 46.6035077 24.5519538, 46.602349 24.5519401, 46.6015934 24.5519312, 46.6009549 24.5519249, 46.5995849 24.5518976, 46.5991948 24.5518933, 46.5987173 24.5518928, 46.5975668 24.5518849, 46.5968092 24.5518721, 46.596094 24.551868, 46.5949756 24.5518514, 46.5941866 24.5518457, 46.5933536 24.5518245, 46.5924729 24.5518045, 46.5918937 24.5517946, 46.5911937 24.5517797, 46.590456 24.5517871, 46.5900082 24.5517916, 46.5892195 24.5517768, 46.5888508 24.5517645, 46.5886751 24.5517668, 46.5885445 24.5517625, 46.5876371 24.5517464, 46.5873688 24.5517416, 46.5862665 24.5517343, 46.5850192 24.5517294, 46.5836325 24.5517001, 46.5825891 24.5516831, 46.5819535 24.5516806, 46.581586 24.5517099, 46.5807599 24.5517685, 46.5797809 24.551866, 46.5775225 24.5520392, 46.5767178 24.5520954, 46.5758574 24.5521784, 46.5739368 24.5523321, 46.5737293 24.5523492, 46.5732738 24.5523637, 46.5711173 24.5525126, 46.5676934 24.5527807, 46.5656644 24.5529395, 46.5629929 24.5531469, 46.5622044 24.5532176, 46.5607318 24.5533299, 46.5561667 24.553669, 46.5559188 24.5536932, 46.5541323 24.5538678, 46.5539686 24.5538666, 46.5532511 24.5539154, 46.5518993 24.5540178, 46.5487155 24.5542569, 46.5484393 24.5542862, 46.5477714 24.5543423, 46.5464357 24.554435, 46.5420315 24.5547936, 46.5409291 24.5548766, 46.5388477 24.5550523, 46.5366134 24.5552157, 46.5363815 24.5552349, 46.5352562 24.5553279, 46.5344243 24.5554237, 46.534215 24.555437, 46.5338591 24.5554679, 46.5320368 24.5556106, 46.5314062 24.55566, 46.5297381 24.555795, 46.5285295 24.55584, 46.5284298 24.5558395, 46.5281738 24.5558383, 46.5275543 24.5558099, 46.5274411 24.5558079, 46.5261476 24.5557436, 46.5244196 24.5556352, 46.5226715 24.5555255, 46.5173659 24.5551976, 46.5167179 24.5551599, 46.5144371 24.5550238, 46.5142144 24.5550054, 46.5135 24.5549474, 46.5133025 24.5549375, 46.5129192 24.5549134, 46.5123259 24.5549134, 46.5119869 24.5549354, 46.5116237 24.5549942, 46.5111959 24.5551153, 46.5108972 24.5552181, 46.5105075 24.5554123, 46.5102354 24.5555668, 46.5100255 24.5557247, 46.5098439 24.5558605, 46.5096421 24.5560381, 46.5094573 24.5562456, 46.5092565 24.5564967, 46.5090626 24.556779, 46.5089512 24.5569765, 46.5088253 24.5571836, 46.5085976 24.5575731, 46.5085504 24.557713, 46.5082512 24.5582832, 46.5073571 24.55999, 46.5072203 24.5602511, 46.5071646 24.5603542)"
Ali Zahabi,secondary,"LINESTRING (46.5440602 24.5543633, 46.5439188 24.5525349, 46.5438809 24.5521294, 46.5437527 24.5507597, 46.5437527 24.5503992, 46.5438064 24.5501182, 46.5438937 24.5498616, 46.5440684 24.549605, 46.5442229 24.5494217, 46.5444512 24.5492613, 46.5446633 24.5491373, 46.5448442 24.5490717, 46.5448935 24.5490539, 46.5451508 24.5489853, 46.5454562 24.5489673, 46.5457044 24.5489479, 46.5465103 24.5488849, 46.548388 24.548738, 46.5502285 24.548594, 46.5511412 24.5485226, 46.5534487 24.5483421, 46.5536166 24.5483289, 46.5552258 24.548203, 46.563365 24.5475663, 46.5635442 24.5475523, 46.5669842 24.5472832, 46.5671429 24.5472708, 46.5708519 24.5469806, 46.5710617 24.5469642, 46.5776711 24.5464472, 46.5778125 24.5464361, 46.5793848 24.5463131, 46.5795679 24.5463758)"
AL Zahabi,secondary,"LINESTRING (46.5443779 24.554735, 46.54437 24.5549379, 46.5443642 24.5553365, 46.5447196 24.5585421, 46.5447979 24.5592483, 46.5449519 24.5606369, 46.5450614 24.5608174)"
نجم الدين الأيوبي,secondary,"LINESTRING (46.5070246 24.5603136, 46.5070851 24.5601952, 46.5072172 24.5599323, 46.5083907 24.5575975, 46.5086451 24.5571545, 46.5087846 24.5568944, 46.5088401 24.5568028, 46.5088693 24.5567501, 46.5089083 24.5566864, 46.5090703 24.5564547, 46.5092984 24.5561629, 46.5095033 24.5559519, 46.5097005 24.5557514, 46.5098937 24.5555931, 46.5099956 24.5555147, 46.5102422 24.5553617, 46.5104737 24.5552345, 46.51081 24.5550939, 46.5109294 24.5550451, 46.5111541 24.5549532, 46.5115405 24.5548631, 46.511591 24.5548513, 46.5117507 24.554825, 46.5119969 24.5547844, 46.5123371 24.5547669, 46.5124789 24.5547657, 46.5127508 24.5547633, 46.5132272 24.554789, 46.5133352 24.5547948, 46.5134849 24.5548029, 46.5142087 24.5548419, 46.5144193 24.5548532, 46.5151996 24.5548953, 46.5173908 24.5550134, 46.5183473 24.5550649, 46.5191926 24.5551105, 46.5223403 24.5552801, 46.5225087 24.5552922, 46.5245317 24.5553996, 46.5252057 24.5554354, 46.5261151 24.5554836, 46.5261992 24.5554881, 46.5274988 24.5555736, 46.5277367 24.5555847, 46.5282426 24.5555991, 46.5285323 24.5555949, 46.5297799 24.5555638, 46.5313911 24.5554486, 46.5320491 24.5554048, 46.5347064 24.5551864, 46.5354905 24.555138, 46.5360367 24.5551035, 46.5365812 24.5550571, 46.5391615 24.5548717, 46.540575 24.5547717, 46.5456927 24.5543618, 46.550003 24.5540032, 46.5502444 24.5539837, 46.5517303 24.5538739, 46.5531948 24.5537714, 46.553573 24.5537446, 46.5539619 24.5537129, 46.5541229 24.5536934, 46.5549383 24.5536519, 46.5558422 24.5535714, 46.5611181 24.5531493, 46.5613196 24.5531323, 46.5630573 24.5530029, 46.5680999 24.5526077, 46.5709403 24.5524077, 46.5716885 24.5523404, 46.572966 24.5522256, 46.5737146 24.5521714, 46.5739129 24.5521427, 46.5740696 24.5521297, 46.5742191 24.5521172, 46.5744778 24.5520957, 46.5786279 24.5517502, 46.5787872 24.5517378, 46.5796834 24.5517025, 46.5799305 24.5516859, 46.5816266 24.5515564, 46.5822704 24.5515374, 46.5836094 24.5515543, 46.5873503 24.5515945, 46.5878096 24.5516094, 46.5885503 24.551615, 46.5886845 24.5516143, 46.5888937 24.5516182, 46.5890922 24.5516221, 46.5894958 24.5516277, 46.5904828 24.5516415, 46.5908034 24.5516508, 46.591026 24.5516514, 46.5911694 24.5516538, 46.5916993 24.5516611, 46.5925273 24.5516752, 46.5938839 24.5516953, 46.5945653 24.5516977, 46.5952814 24.5517167, 46.5957118 24.5517282, 46.598069 24.5517467, 46.6002526 24.5517742, 46.6005303 24.5517746, 46.600989 24.5517741, 46.6013729 24.551781, 46.6020564 24.551791, 46.603049 24.5518057, 46.6038755 24.5518204, 46.6046878 24.5518312, 46.6057805 24.5518457, 46.6064688 24.5518537, 46.6065921 24.5518551, 46.6071854 24.5518691, 46.6082859 24.5518968, 46.6090693 24.5518936, 46.6096249 24.5518907, 46.6104619 24.5519002, 46.6134094 24.5519515, 46.6162655 24.5519818, 46.6181043 24.5520212, 46.6192378 24.5520455, 46.6199414 24.5520366, 46.620101 24.5520343, 46.6202849 24.5520359, 46.6237557 24.5520661, 46.6248956 24.5520869, 46.6267191 24.5521202, 46.6284684 24.5521522, 46.6301018 24.5521649, 46.6318167 24.5521902, 46.6336024 24.5521995, 46.6352702 24.5522182, 46.6369443 24.5522381, 46.6386018 24.5522636, 46.6387219 24.5522655, 46.6408853 24.5522999, 46.6413188 24.5523032, 46.6416819 24.5523323, 46.6421218 24.5524044, 46.6423888 24.5524952, 46.6427247 24.5526225, 46.6430412 24.5527577, 46.6433693 24.5529315, 46.643685 24.5531363, 46.6440006 24.5534117, 46.6442969 24.5537119, 46.6443763 24.5537991, 46.6444834 24.5538866, 46.6447763 24.5541218)"
نجم الدين الأيوبي,secondary,"LINESTRING (46.5066695 24.5613123, 46.505454 24.5637743, 46.5026448 24.5691322)"
Al Iqlas Road,secondary,"LINESTRING (46.52239 24.5757275, 46.5218493 24.5757727, 46.5197816 24.5759306, 46.5194863 24.5759532, 46.5186031 24.5760245, 46.5181383 24.576062, 46.5168022 24.5761699, 46.5155115 24.5762741)"
Al Iqlas Road,secondary,"LINESTRING (46.555923 24.5731686, 46.555761 24.5731809, 46.5552105 24.5731848, 46.5545608 24.5731894, 46.5539492 24.5732425, 46.5527651 24.5733379, 46.5515939 24.5734301, 46.550244 24.5735456, 46.549133 24.5736223, 46.5479367 24.5737171, 46.5466624 24.5738033, 46.5461291 24.5739017)"
AL Iqlas Road,residential,"LINESTRING (46.5300203 24.5748296, 46.5308545 24.574765, 46.5339372 24.5745264, 46.5357302 24.5743896, 46.5358617 24.5743226)"
Bilal Bin Rabah,secondary,"LINESTRING (46.5231649 24.581681, 46.5232848 24.5817963, 46.5233492 24.5818244, 46.5233914 24.5818347, 46.5234981 24.5818428, 46.5237315 24.5818352, 46.5250267 24.581717, 46.5261756 24.5816272, 46.5272731 24.5815414, 46.5286635 24.5814327, 46.5297968 24.5813442, 46.530915 24.5812567, 46.5322912 24.5811492, 46.5338515 24.5810272, 46.5343645 24.5809871, 46.5344317 24.5810182, 46.5344907 24.5810515, 46.5344947 24.58107, 46.5344622 24.5811014, 46.5344237 24.5811197)"
