name,highway_type,geometry
شلال,residential,"LINESTRING (46.5761432 24.5749463, 46.5766913 24.5749118, 46.5772337 24.5748691, 46.5777779 24.5748262, 46.5780052 24.5748083, 46.5791109 24.5747213, 46.5802968 24.5746279)"
جبة,residential,"LINESTRING (46.5762259 24.5772049, 46.5768833 24.5771538, 46.57738 24.5771096, 46.578092 24.5770463, 46.5784937 24.5770106, 46.5787657 24.5769864, 46.5798917 24.5768863)"
سويقة,residential,"LINESTRING (46.5804468 24.5763622, 46.5798639 24.5764133, 46.5792323 24.5764714, 46.5787442 24.5765113, 46.5780686 24.5765704, 46.5779184 24.5765836, 46.5774063 24.5766284, 46.5768401 24.5766779)"
وقادة,residential,"LINESTRING (46.5786562 24.5988203, 46.5791866 24.5980723)"
أم ريم,residential,"LINESTRING (46.5780673 24.5968273, 46.578593 24.5971442, 46.5790427 24.5974225, 46.5796148 24.5977765, 46.5800003 24.598015, 46.5806756 24.5984329, 46.5811008 24.5986857)"
بئر المدقة,residential,"LINESTRING (46.5796812 24.596523, 46.5792139 24.5962466, 46.5787119 24.5959497)"
أم القضاة,residential,"LINESTRING (46.5803659 24.5988276, 46.5799011 24.5985299, 46.5793264 24.5981619, 46.5791866 24.5980723, 46.5787723 24.5978069)"
الزبداني,residential,"LINESTRING (46.5782075 24.5985382, 46.5787723 24.5978069, 46.5790427 24.5974225, 46.5793655 24.5969623)"
ينبع,tertiary,"LINESTRING (46.5859708 24.6041987, 46.5854196 24.6038677, 46.5850292 24.6036269, 46.5848587 24.6035217, 46.5837795 24.6028561, 46.5822652 24.601922, 46.5820559 24.6017929, 46.5802666 24.6006892, 46.5794778 24.6002026, 46.5793344 24.6001141, 46.578416 24.5995476, 46.5773245 24.5988743, 46.5772986 24.5988583, 46.576801 24.5985514)"
المقدادية,residential,"LINESTRING (46.5774318 24.5987331, 46.5777889 24.5982751, 46.5779913 24.5979905, 46.578593 24.5971442)"
علي بن عبيد,residential,"LINESTRING (46.580749 24.600136, 46.5802724 24.5998363, 46.579805 24.5995424, 46.5793642 24.5992635, 46.5787944 24.5989029, 46.5786562 24.5988203, 46.5782075 24.5985382, 46.5777889 24.5982751)"
ابن السائب المخزومي,residential,"LINESTRING (46.5784051 24.5963675, 46.5793655 24.5969623, 46.5798267 24.5972478, 46.5800143 24.597364, 46.5803729 24.5975861, 46.5809894 24.5979679, 46.5814239 24.598237, 46.5818828 24.5985212, 46.5819339 24.598551, 46.5830167 24.5991839)"
جار الله بن فهد,residential,"LINESTRING (46.5785977 24.5838845, 46.5785427 24.5831657, 46.5784263 24.5816424, 46.5784154 24.5815182, 46.5783579 24.5808629, 46.5783057 24.5802692, 46.5782517 24.5796534, 46.5781968 24.5790284, 46.5781718 24.5787436, 46.578134 24.5783794, 46.5780688 24.5777507)"
الفرش,residential,"LINESTRING (46.5771861 24.5865983, 46.5777472 24.5865557, 46.5782138 24.5865202, 46.5790663 24.5864555, 46.5792902 24.5864385, 46.5798631 24.5864037, 46.5802105 24.5863825, 46.5813156 24.5863153, 46.5815523 24.5863009, 46.5817814 24.5863418, 46.5820374 24.5864864)"
ثنيات,residential,"LINESTRING (46.578134 24.5783794, 46.577171 24.5784596, 46.5764325 24.5785323)"
الميز,residential,"LINESTRING (46.5789012 24.5879845, 46.5779004 24.5880673)"
تمير,residential,"LINESTRING (46.580043 24.5788795, 46.5792235 24.5789385, 46.5789 24.578954)"
الميمنة,residential,"LINESTRING (46.5789575 24.5886918, 46.5779644 24.5887692)"
النفيس,residential,"LINESTRING (46.5782343 24.5860192, 46.578226 24.5855253, 46.5781297 24.5846151)"
النماص,residential,"LINESTRING (46.5777472 24.5865557, 46.5777111 24.5860619, 46.5776873 24.5856998, 46.5776186 24.5846573)"
